image_sample,label
./data/adl_imgs/adl-01-cam0-d-006.png,-1
./data/adl_imgs/adl-01-cam0-d-008.png,-1
./data/adl_imgs/adl-01-cam0-d-009.png,-1
./data/adl_imgs/adl-01-cam0-d-010.png,-1
./data/adl_imgs/adl-01-cam0-d-011.png,-1
./data/adl_imgs/adl-01-cam0-d-012.png,-1
./data/adl_imgs/adl-01-cam0-d-013.png,-1
./data/adl_imgs/adl-01-cam0-d-014.png,-1
./data/adl_imgs/adl-01-cam0-d-015.png,-1
./data/adl_imgs/adl-01-cam0-d-016.png,-1
./data/adl_imgs/adl-01-cam0-d-017.png,-1
./data/adl_imgs/adl-01-cam0-d-018.png,-1
./data/adl_imgs/adl-01-cam0-d-019.png,-1
./data/adl_imgs/adl-01-cam0-d-020.png,-1
./data/adl_imgs/adl-01-cam0-d-021.png,-1
./data/adl_imgs/adl-01-cam0-d-022.png,-1
./data/adl_imgs/adl-01-cam0-d-023.png,-1
./data/adl_imgs/adl-01-cam0-d-024.png,-1
./data/adl_imgs/adl-01-cam0-d-025.png,-1
./data/adl_imgs/adl-01-cam0-d-026.png,-1
./data/adl_imgs/adl-01-cam0-d-027.png,-1
./data/adl_imgs/adl-01-cam0-d-028.png,-1
./data/adl_imgs/adl-01-cam0-d-029.png,-1
./data/adl_imgs/adl-01-cam0-d-030.png,-1
./data/adl_imgs/adl-01-cam0-d-031.png,-1
./data/adl_imgs/adl-01-cam0-d-032.png,-1
./data/adl_imgs/adl-01-cam0-d-033.png,-1
./data/adl_imgs/adl-01-cam0-d-034.png,-1
./data/adl_imgs/adl-01-cam0-d-035.png,-1
./data/adl_imgs/adl-01-cam0-d-036.png,-1
./data/adl_imgs/adl-01-cam0-d-037.png,-1
./data/adl_imgs/adl-01-cam0-d-038.png,-1
./data/adl_imgs/adl-01-cam0-d-039.png,-1
./data/adl_imgs/adl-01-cam0-d-040.png,-1
./data/adl_imgs/adl-01-cam0-d-041.png,-1
./data/adl_imgs/adl-01-cam0-d-042.png,-1
